movie_title,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The Last Waltz,PG,"Documentary, Musical & Performing Arts",Martin Scorsese,,"Van Morrison, Bob Dylan, Neil Young, Joni Mitchell, The Staple Singers, Neil Diamond, Eric Clapton, Ronnie Hawkins, Ringo Starr, Muddy Waters, The Band, Robbie Robertson, Emmylou Harris, Van Morrison, Rick Danko, Ronnie Wood, Levon Helm, Garth Hudson, Paul Butterfield, Richard Manuel, Dr. John, Pops Staples, Jim Gordon, Tom Marlone, Howard Johnson, Jerry Hay, Richard Cooper, Charlie Keagle, Larry Packer, Michael McClure, Lawrence Ferlinghetti",1978-04-26,2002-05-07,117,MGM,Certified Fresh,98,48,94,13857
The Wolf of Wall Street,R,Drama,Martin Scorsese,Terence Winter,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Joanna Lumley, Jean Dujardin, Jon Bernthal, Jon Favreau, Rob Reiner, Cristin Milioti, Christine Ebersole, Shea Whigham, Katarina Cas, P.J. Byrne, Kenneth Choi, Brian Sacca, Henry Zebrowski, Ethan Suplee, Barry Rothbart, Jake Hoffman, Mackenzie Meehan, Bo Dietl, Jon Spinogatti, Aya Cash, Rizwan Manji, Stephanie Kurtzuba, J.C. MacKenzie, Ashlie Atkinson, Thomas Middleditch, Stephen Kunken, Edward Herrmann, Jordan Belfort, Ted Griffin, Fran Lebowitz, Robert Clohessy, Natasha Newman-Thomas, Sandra Nelson, Johnnie Mae, Christina Jeffs, Sabina Maschi, Zana Markelson, Welker White, Danny Flaherty, Carla Corvo, Dustin Kerns, Ashley Blankenship, Deirdre Reimold, Madison McKinley Garton, Kerry Malloy, Frank Van Putten, Aaron Lazar, Steve Routman, Steve Witting, Charley Morgan, Michael Nathanson, Natalie Bensel, Tess Gillis, Jaclyn M. Keys, Krista Ashworth, Kathleen Fellegara, John Bernard Martin, Jamel Daniels, Dan Bittner, John Behlmann, Ward Horton, Bret Shuford, Paul Dion Monte, Ellen Sexton, Brian Tweedy, J.T. O'Connor, Steven Boyer, Danny A. Abeckaser, Tracy Friedman, Matthew Rauch, Michael Izquierdo, Donnie Keshawarz, Jonathan Tchaikovsky, Aaron Glaser, Ben Rameaka, Ben Loving, Brian Charles Johnson, Sebastian Tillinger, Chris Riggi, Dan Hunter, Meghan Rafferty, Jose Ramon Rosario, Davram Stiefler, Dan Daily, Ben Van Bergen, Matte Osian, Michael Devine, Jason Furlani, Scott Nicholson, Jeremy Bobb, Dean Auer, Tom Greer, Sharon Jones, Catherine Curtin, Victor Verhaeghe, Louis Vanaria, Lawrence Leighton Smith, Justin Anthony Long, Peter Youngblood Hills, Michael Bryan French, Paul Urcioli, Michael J. O'Hara, Ashley Springer, Zineb Oukach, Armen Garo, Emily Tremaine, Adria Baratta, Daniel Hepner, Marcos Gonzalez, Deema Aitken, Gregory Perri, Brendan Griffin, Starr Duncan, Saundra Williams, Loretta O. Booz, Shea Coleman, Giselle Eisenberg, Viki Boyle, Chris Caldovino, Chris Matsevac, Justin Yllanes, Remy Bennett, Jamie O'Connell, Garry Pastore, Hardy Winburn, Allyson Carr, Derek Milman, Jared Houseman, Lawrence Lau Kwok Cheong",2013-12-25,2014-03-25,179,Paramount Studios,Certified Fresh,79,276,82,180126
Who's That Knocking at My Door?,R,"Action & Adventure, Classics, Drama",Martin Scorsese,Martin Scorsese,"Harvey Keitel, Zina Bethune, Lennard Kuras, Michael Scala, Ann Colette, Wendy Russell, Philip Carlson, Phil Carlson, Paul de Blonde, Robert Uricola, Bill Minkin, Marissa Joffrey, Maelssa Jaffrey, Harry Northrup, Saskia Holleman, Tsuai Yu-Lan, Marieka Weathered, Catherine Scorsese, Vic Magnotta, Paul Di Bionde, Susan Wood, Martin Scorsese, Thomas Aiello",1967-11-15,2004-08-17,90,WARNER BROTHERS PICTURES,Fresh,68,19,61,5148
Django Unchained,R,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Walton Goggins, Kerry Washington, Dennis Christopher, Laura Cayouette, M.C. Gainey, Don Johnson, Todd Allen, Misty Upham, James Remar, James Russo, Tom Wopat, Jonah Hill, David Steen, Dana Gourrier, Nichole Galicia, Bruce Dern, Franco Nero, Don Stroud, Russ Tamblyn, Amber Tamblyn, Cooper Huckabee, Doc Duhame, Lee Horsley, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot, Escalante Lundy, Miriam F. Glover, Zoe Bell, Michael Bowen, Robert Carradine, Jake Garber, Ted Neeley, James Parks, Tom Savini, Michael Parks, John Jarratt, Quentin Tarantino, Elisa",2012-12-25,2013-04-16,165,The Weinstein Co.,Certified Fresh,86,281,91,428344
Inglourious Basterds,R,"Action & Adventure, Drama",Quentin Tarantino,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Omar Doom, August Diehl, Denis Ménochet, Sylvester Groth, Martin Wuttke, Mike Myers, Julie Dreyfus, Richard Sammel, Alexander Fehling, Rod Taylor, Sönke Möhring, Samm Levine, Paul Rust, Michael Bacall, Arndt Schwering-Sohnrey, Petra Hartung, Volker Zack Michalowski, Ken Duken, Christian Berkel, Annie-Sophie Franck, Anne-Sophie Franck, Léa Seydoux, Tina Rodriguez, Lena Friedrich, Ludger Pistor, Jana Pallaske, Wolfgang Lindner, Michael Kranz, Rainer Bock, Andre Penvern, Sebastian Hülk, Buddy Joe Hooker, Carlos Fidel, Christian Brückner, Hilmar Eichhorn, Patrick Elias, Eva Löbau, Salvadore Brandt, Jasper Linnewedel, Wilifried Hochholdinger, Wilfried Hochholdinger, Olivier Girard, Michael Scheel, Leo Plank, Andreas Tietz, Bo Svenson, Enzo G. Castellari",2009-08-21,2009-12-15,153,The Weinstein Company,Certified Fresh,89,325,88,775048
Jackie Brown,R,"Action & Adventure, Drama, Mystery & Suspense",Quentin Tarantino,"Quentin Tarantino, Elmore Leonard","Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, Tommy ""Tiny"" Lister, Hattie Winston, Aimee Graham, Sid Haig, Denise Crosby, Ellis Williams, Laura Lovelace, Tangie Ambrose, T'Keyah Crystal Keymáh, Venessia Valentino, Diana Uribe, Renee Kelly, Elizabeth McInerney, Colleen Mayne, Christine Lydon, Julia Ervin, Juliet Lon, Michelle Berube, Gillian Iliana Waters, Candice Briese, Gary Mann, Jeffrey Deedrick, Roy Nesvold, Herbert Hans Wilmsen, Ellis E. Williams, LisaGay Hamilton, Quentin Tarantino",1997-12-25,1998-08-05,154,Miramax Films,Certified Fresh,87,82,85,215077
Kill Bill: Volume 1,R,"Action & Adventure, Mystery & Suspense",Quentin Tarantino,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine, Daryl Hannah, Michael Madsen, Michael Parks, Sonny Chiba, Michael Jai White, Chiaki Kuriyama, Julie Dreyfus, Michael Bowen, Chia Hui Liu, Jun Kunimura, Yuki Kazamatsuri, James Parks, Samuel L. Jackson, Gordon Liu, Caitlin Keats, Christopher Allen Nelson, Kazuki Kitamura, LaTanya Richardson, Akaji Maro, Goro Daimon, Shana Stein, Shun Sugata, Bo Svenson, Quentin Tarantino, Larry Bishop, Kenji Ohba, Sakichi Satô, 5.6.7.8's, Jonathan Loughran, Toshituri Morishita, Ambrosia Kelley, Tetsuro Shimaguchi, Toji Bora Tanaka, Issei Takahashi, So Tamanaka, Juri Manase",2003-10-10,2004-04-13,111,Miramax Films,Certified Fresh,85,234,81,32558003
Kill Bill: Volume 2,R,"Action & Adventure, Comedy, Drama",Quentin Tarantino,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Gordon Liu, Chia Hui Liu, Michael Parks, Perla Haney-Jardine, Helen Kim, Christopher Allen Nelson, Laura Cayouette, Claire Smithies, Bo Svenson, Clark Middleton, Caitlin Keats, Larry Bishop, Sid Haig, Reda Beebe, Samuel L. Jackson, Jeannie Epper, LaTanya Richardson, Shana Stein",2004-04-16,2004-08-10,137,Miramax Films,Certified Fresh,84,240,89,840957
Pulp Fiction,R,Drama,Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Harvey Keitel, Christopher Walken, Maria de Medeiros, Amanda Plummer, Steve Buscemi, Rosanna Arquette, Ving Rhames, Tim Roth, Eric Stoltz, Quentin Tarantino, Julia Sweeney, Frank Whaley, Alexis Arquette, Paul Calderon, Bronagh Gallagher, Laura Lovelace, Angela Jones, Duane Whitaker, Peter Greene, Phil LaMarr, Burr Steers, Brenda Hillhouse, Sy Sher, Carl Allen, Don Blakely, Venessia Valentino, Karen Maruyama, Kathy Griffin, Stephen Hibbert, Dick Miller, Chandler Lindauer, Susan Griffiths, Lorelei Leslie, Brad Parker, Joseph Pilato, Eric Clark, Jerome Patrick Hoban, Gary Shorelle, Michael Gilden, Linda Kaye, Lawrence Bender, Emil Sitka, Robert Ruth, Rich Turner",1994-09-23,1998-05-19,154,Miramax Films,Certified Fresh,92,101,96,1126774
Reservoir Dogs,R,"Action & Adventure, Drama, Mystery & Suspense",Quentin Tarantino,Quentin Tarantino,"Harvey Keitel, Chris Penn, Tim Roth, Michael Madsen, Steve Buscemi, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Michael Sottile, Rich Turner, Linda Kaye, David Steen, Tony Cosmo, Stevo Poliy, Stevo Polyi, Robert Ruth, Suzanne Celeste, Lawrence Bender, Steven Wright, Laurie Latham, Maria Strova, Burr Steers, Craig Hamann",1992-01-21,2002-11-05,98,Miramax Films,Certified Fresh,91,69,94,445913
The Hateful Eight,R,Western,Quentin Tarantino,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demian Bichir, Tim Roth, Michael Madsen, Bruce Dern, Channing Tatum, James Parks, Dana Gourrier, Lee Horsley, Belinda Owino, Gene Jones, Bruce Del Castillo, Craig Stark, Keith Jefferson, Zoe Bell",2015-12-30,2016-03-29,167,The Weinstein Company,Certified Fresh,74,321,76,72827
Planet of the Apes,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",Tim Burton,"William Broyles, Mark Rosenthal, Lawrence Konner","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, Cary-Hiroyuki Tagawa, David Warner, Kris Kristofferson, Estella Warren, Erick Avari, Luke Eberl, Evan Dexter Parke, Glenn Shadix, Charlton Heston, Freda Foh Shen, Chris Ellis, Anne Ramsay, Andrea Grano, Michael Jace, Michael Wiseman, Lisa Marie, Eileen Weisinger, Deep Roy, Chad Bannon, Kevin Grevioux, Isaac C. Singleton Jr., Quincy Taylor, John Alexander, Jay Caputo, Philip Tan, Callie Croughwell, Allie Habberstad, Brett Smrz, Howard Berger, Rick Baker, Cameron Croughwell, Joshua Croughwell, Hannah Peitzman, Molly Peitzman, Jesse Tipton, Shane Habberstad, Chet Zar, Linda Harrison, Eddie Adams, Todd Babcock, Lorenzo Callender, Shonda Farr, Kam Heskin, Jim Holmes, Todd Kimsey, Candace Kroslak, Joanna Krupa, Elizabeth Lackey, Mark Christopher Lawrence, Melody Perkins, Tate Taylor, Jonna Thompson",2001-07-27,2001-11-20,119,20th Century Fox,Rotten,45,157,27,366779
Big Fish,PG-13,"Comedy, Drama",Tim Burton,John August,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Alison Lohman, Helena Bonham Carter, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, David Denham, Missi Pyle, Loudon Wainwright III, Loudon Wainright, Ada Tai, Arlene Tai, Steve Buscemi, Danny DeVito, Deep Roy, Brandon Carroll, Perry Walston, Hailey Anne Nelson, Grayson Stone, R. Keith Harris, Karla Droege, Zachary Gardner, John Lowell, Darrell Vanterpool, Miley Cyrus, Joseph Humphrey, Morgan Grace Jarrett, Sallie Hedrick, Charles McLawhorn, Frank Hoyt Taylor, Savanna James, Billy Redden, James DeForest Parker, Russell Hodgkinson, Don Young, Jayne Morgan, David Ramsey, Greg Hohn, Zach Hanner, George McArthur, Jeff Campbell, Lawrence Sykkmon, Bonnie Johnson, Howard Houston Jr., Joanne Pankow, Trevor Gagnon, Jacob Radford, Karlos Walkes, Cathy Berry, John Fugate, Daniel Wallace, Metz Duites, Vincent Ybiernas, Barry C. Harvard, Edward Aldag, Michael Garnet Stewart, Alan Rawlins, Jake Brake, Bevin Kaye, Tom Tom, Fred Scialla, Nick Ingman",2003-12-10,2004-04-27,125,Sony Pictures,Certified Fresh,75,218,89,498181
Alice in Wonderland,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Tim Burton,Linda Woolverton,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway, Matt Lucas, Jemma Powell, Tim Pigott-Smith, Crispin Glover, Michael Sheen, Stephen Fry, Alan Rickman, Barbara Windsor, Paul Whitehouse, Timothy Spall, Marton Csokas, John Surman, Peter Mattinson, Lindsay Duncan, Geraldine James, Leo Bill, Frances de la Tour, John Hopkins (V), Eleanor Gecks, Eleanor Tomlinson, Rebecca Crookshank, Michael Gough, Imelda Staunton, Christopher Lee, Mairie Ella Challen, Holly Hawkins, Lucy Davenport, Joel Swetow, Jessica Oyelowo, Ethan Cohn, Richard Alonzo, Harry Taylor, Jim Carter, Frank Welker, Chris Grabher, Caroline Royce, Bonnie Parker, Simone Sault, Leigh Daniels, Carl Walker, Matt Dempsey, Chris Grierson, Dale Mercer, David Lale, John Bass, Nicholas Levy, Patrick Roberts, Phillip Granell, Stephen Giles, Hilary Morris, Jacqueline Tribble",2010-03-05,2010-06-01,108,Walt Disney Pictures,Rotten,51,273,55,480070
Beetlejuice,PG,"Comedy, Horror, Science Fiction & Fantasy",Tim Burton,"Warren Skaaren, Michael McDowell, Larry Wilson, Michael Bender","Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones, Catherine O'Hara, Winona Ryder, Glenn Shadix, Jack Angel, Sylvia Sidney, Patrice Martinez, Robert Goulet, Dick Cavett, Annie McEnroe, Simmy Bow, Maurice Page, Susan Kellerman, Rachel Mittelman, Hugo L. Stanger, Cynthia Daly, Douglas Turner, Carmen Filpi, Susan Kellermann, Adelle Lutz, Patrice Camhi, Marie Cheatham, Tony Cox, Harold Goodman, Maree Cheatham, J. Jay Saunders, Mark Ettlinger, Gary Jochimsen, Bob Pettersen, Adele Lutz, Duane Davis, J.J. Saunders",1988-03-30,1997-06-26,93,Warner Bros. Pictures,Certified Fresh,84,56,82,916690
Big Eyes,PG-13,Drama,Tim Burton,"Larry Karaszewski, Scott Alexander","Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Elisabetta Fantone, James Saito, Guido Furlani, Delaney Raye, Madeleine Arthur, Emily Bruhn, Alan MacFarlane, Tony Alcantar, Jaden Alexander, Andrew Airlie, Stephanie Bennett, Andrea Bucko, Heather Doerksen, Kurt Cotton, Aaron Craven, Emily Fonda, Barclay Hope, Peter Kelamis, David Milchard, Jill Morrison, Leela Savasta, Steven Wiig, Fiona Vroom, Traci Toguchi, Desiree Zurowski",2014-12-25,2015-04-14,106,The Weinstein Company,Fresh,72,185,68,32532
Charlie and the Chocolate Factory,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Tim Burton,John August,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, Franziska Troegner, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz, Blair Dunlop, Liz Smith, Eileen Essell, David Morris, Nitin Ganatra, Shelley Conn, Chris Cresswell, Philip Philmar, Tony Kirwood, Phil Philmar, Todd Boyce, Nayef Rashed, Menis Yousry, Harry Taylor, Hubertus Geller, Francesca Hunt, Garrick Hagon, Kevin Eldon, Mark Heap, Roger Frost, James Oscar Lee, Colette Appleby, Annette Badland, Stephen Hope-Wayne, Geoffrey Holder, Stephen Hope-Wynne, Rick Wentworth",2005-07-15,2005-11-07,130,Warner Bros. Pictures,Certified Fresh,83,229,51,32495606
Dark Shadows,PG-13,"Drama, Horror, Mystery & Suspense",Tim Burton,Seth Grahame-Smith,"Johnny Depp, Helena Bonham Carter, Chloë Grace Moretz, Eva Green, Gulliver McGrath, Bella Heathcote, Ray Shirley, Thomas McDonell, Jackie Earle Haley, Jonny Lee Miller, Gully McGrath, Michelle Pfeiffer, Christopher Lee, Alice Cooper, Ivan Kaye, Justin Tracy, Susanna Cappellaro, Josephine Butler, William Hope, Shane Rimmer, Michael J. Shannon, Harry Taylor, Glen Mexted, Guy Flanagan, Nigel Whitmey, Philip Bulcock, Sophie Kennedy Clark, Hannah Murray, Victoria Bewick, Sean Mahon, Alexia Osborne, Richard Hollis, Felicity Brangan, Michael Anthony Brown, Charlotte Spencer, Gabriel Freilich, Thomas Grube, Jeff Mash, Raffey Cassidy, Jonathan Frid, Kathryn Leigh Scott, Lara Parker, David Selby, Janine Craig, Adelle Young, Dominica Van Santen, Josephine McGrail",2012-05-11,2012-10-02,113,Warner Bros. Pictures,Rotten,36,252,46,257264
Dumbo,PG,"Animation, Kids & Family, Science Fiction & Fantasy",Tim Burton,Ehren Kruger,"Colin Farrell, Danny DeVito, Eva Green, Michael Keaton, Deobia Oparei, Alan Arkin, Nicole N. Parker, Finley Hobbins, Roshan Seth, Lars Eidinger, Joseph Gatt, Douglas Reith, Phil Zimmerman, Sharon Rooney, Frank Bourke, Michael Buffer, Sandy Martin, Erick Hayden, Greg Canestrari, Christopher Rogers, Simon Connolly, Nick Bartlett, Harry Taylor, Vincent Andriano, Ben Crowe, Clive Brunt, Angela Ashton, Philip Rosch, Joseph Macnab, Rob Heanley, Amerjit Deu, Lucy DeVito, Matthew Castle, Brett Jones, Zee Asha, Carol Been, Rosie Akerman, Govinda",2019-03-29,2019-06-25,112,Walt Disney Pictures,Rotten,47,347,50,3983
Ed Wood,R,"Comedy, Drama",Tim Burton,"Scott Alexander, Larry Karaszewski","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, G.D. Spradlin, Vincent D'Onofrio, Lisa Marie, Bill Murray, Mike Starr, Max Casella, Brent Hinkley, Juliet Landau, George 'The Animal' Steele, Jim Myers, Clive Rosengren, Norman Alden, Victoria Thomas, Leonard Termo, Ned Bellamy, Danny Dayton, Ross Manarchy, Bill Cusack, Aaron Nelms, Biff Yeager, Jonathan Ross, Louis Lombardi, Mickey Cottrell, Joseph R. Gannascoli, Carmen Filpi, Melora Walters, Conrad Brooks, Don Amendolia, Tommy Bertelsen, Reid Cruickshanks, Stanley DeSantis, Lionel Decker, Edmund L. Shaff, Gene Lebell, Jesse Hernandez, Bobby Slayton, Gretchen Becker, John Rice, Catherine Butterfield, Mary Portser, King Cotton, Vasek Simek, Don Hood, Frank Echols, Matthew Barry, Ralph Monaco, Anthony Russell, Tommy Bush, Gregory Walcott, Charles C. Stevenson Jr., Rance Howard, Vasek C. Simek, Maurice LaMarche, Alan Martin, Salwa Mohamed Ali, Rodney Kizziah, Korla Pandit, Hannah Eckstein, Luc DeSchepper, Vinny Argiro, Patti Tippo, Ray Baker, James Reid Boyce, Ben Ryan Ganger, Ryan Holihan, Marc Revivo, Charlie Holliday, Adam Drescher, Ric Mancini, Daniel Riordan, Lisa Malkiewicz",1994-09-28,2002-08-13,124,Buena Vista Pictures,Certified Fresh,92,63,88,107157
Edward Scissorhands,PG-13,"Drama, Science Fiction & Fantasy, Romance",Tim Burton,"Caroline Thompson, Tim Burton","Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Kathy Baker, Robert Oliveri, Vincent Price, Alan Arkin, Conchata Ferrell, Caroline Aaron, Bee Albano, O-Lan Jones, Susan J. Blommaert, Linda Perri, John Davidson, Biff Yeager, Marti Greenberg, Bryan Larkin, John McMahon, Stuart Lancaster, Gina Gallagher, Aaron Lustig, Alan Fudge, Steven Brill, Peter Palmer, Diane L. Green, Andrew Crofton, Linda Hess Hess, Rosalyn Thomson, Lee Ralls, Eileen Meurer, Bea Albano, Donna Pieroni, Tricia Lloyd, Kathy Dombo, Sherry Ferguson, Tabetha Thomas, Victoria Price, Marc Macaulay, Carmen J. Alexander, Brett Rice, Ken DeVaul, Michael Gaughan, Tammy Boalo, Brian Larkin, Jackie Carson, Carol Crumrine, Suzanne Chrosniak, Ellin Dennis, Miriam Goodspeed, Kathy Fleming, Dianne L. Green, Jalaine Gallion, Mary Jane Heath, Carol D. Klasek, Andrew B. Clark, Laura Nader, Doyle Anderson, Harvey Bellman, Michael Brown, Gary Clark, Roland Douville, Ken de Vaul, Russell Green, Cecil Hawkins, Jack W. Kapfhamer, Bill Klein, Phil Olson, Susan Blommaert, Joe Sheldon, James Spicer",1990-12-07,2001-12-18,100,20th Century Fox,Certified Fresh,90,58,91,1032683
Frankenweenie,PG,"Animation, Comedy, Horror, Science Fiction & Fantasy",Tim Burton,John August,"Martin Landau, Catherine O'Hara, Martin Short, Atticus Shaffer, Robert Capron, James Hiroyuki Liao, Tom Kenny, Charlie Tahan, Winona Ryder, Conchata Ferrell",2012-10-05,2013-01-08,90,Walt Disney Pictures,Certified Fresh,87,219,70,67621
Mars Attacks!,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",Tim Burton,Jonathan Gems,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Lukas Haas, Natalie Portman, Jim Brown, Tom Jones, Lisa Marie, Sylvia Sidney, Paul Winfield, Pam Grier, Danny DeVito, Jack Black, Janice Rivera, Ray J, Brandon Hammond, Joe Don Baker, O-Lan Jones, Christina Applegate, Janice Riveria, Brian Haley, Jerzy Skolimowski, Timi Prulhiere, Barbet Schroeder, Chi Hoang Cai, Tommy Bush, Joseph Maher, Gloria M. Malgarini, Betty Bunch, Gloria Hoffmann, Willie Garson, John Roselius, Michael Reilly Burke, Valerie Wildman, Richard Irving, Jonathan Emerson, Tamara 'Gingir' Curry, Rebecca Broussard, Vinny Argiro, Steve Valentine, Coco Leigh, Jeffrey King, Enrique J. Castillo, Don Lamoth, C. Wayne Owens, Joseph Patrick Moynihan, Roger Peterson, John Finnegan, Ed Lambert, John Gray, Gregg L. Daniel, J. Kenneth Campbell, Jeanne Mori, Rance Howard, Richard Assad, Velletta Carlson, Kevin Mangan, Rebeca Silva, Josh Weinstein, Juian Barnes, Ken Thomas, Darelle Porter Holden, Christi Black, Sharon Hendrix, Poppy",1996-12-13,1997-06-24,108,Warner Home Video,Rotten,53,81,53,436369
Miss Peregrine's Home for Peculiar Children,PG-13,"Kids & Family, Science Fiction & Fantasy",Tim Burton,Jane Goldman,"Eva Green, Asa Butterfield, Chris O'Dowd, Allison Janney, Rupert Everett, Terence Stamp, Ella Purnell, Judi Dench, Samuel L. Jackson, Finlay MacMillan, Lauren McCrostie, Georgia Pemberton, Hayden Keeler-Stone, Louis Davison, Milo Parker, Raffiella Chapman, Pixie Davies, Cameron King, Kim Dickens, Joseph Odwell, Thomas Odwell, O-Lan Jones, Aiden Flowers, Nicholas Oteri, Helen Day, Philip Philmar, Jack Brady, Scott Handy, Jennifer Jarackas, George Vricos, Brooke Jaye Taylor, Cameron Greco, Ella Linnea Wahlestedt, Jack Fibkins, Nicholas Amer, Ioan Hefin, Shaun Thomas, Justin Davies, Nick McGaughey, Lynne Hunter, Ben Roberts, Dafydd Hywel, Sophia Tailor, Harry Taylor, Dan Mersh, James Kermack, Steve Money, Christine Dalby, Badria Timimi",2016-09-30,2016-12-13,127,20th Century Fox,Fresh,64,244,60,38751
Pee-wee's Big Adventure,PG,"Comedy, Kids & Family",Tim Burton,"Phil Hartman, Paul Reubens, Michael Varhol","Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger, Judd Omen, Jan Hooks, Jon Harris, Carmen Filpi, Monte Landis, Irving Hellman, Damon Martin, Daryl Roach, Starletta DuPois, Wallis Nicita, David C. Glasser, Gregory Hippolyte, Mark Everett, Bill Cable, Peter Looney, Prof. Toru Tanaka, Ed Herlihy, Ralph Seymour, Lou Cutell, Raymond Martino, Erica Yohn, Bill Richmond, Alice Nunn, Ed Griffith, Simmy Bow, John Moody, John O'Neill, Alex Sharp, Chester Grimes, Luis Contreras, Lonnie Parkinson, Howard Hirdler, Cassandra Peterson, Jason Hervey, Bob McClurg, John Paragon, Susan Barnes, Zachary Hoffman, Lynne Marie Stewart, George Sasaki, Richard Brose, Drew Seward, Brett Fellman, Bob Drew, John Gilgreen, Noreen Hennessy, Phil Hartman, Michael Varhol, Noreen Hennesey, David Rothenberg, Patrick Cranshaw, Sunshine Parker, Gilles Savard, James Brolin, Morgan Fairchild, Tony Bill, Milton Berle, Monty Landis",1985-07-26,2000-05-02,92,Warner Home Video,Certified Fresh,87,45,79,113255
Sleepy Hollow,R,"Horror, Mystery & Suspense, Romance",Tim Burton,Andrew Kevin Walker,"Johnny Depp, Christina Ricci, Miranda Richardson, Casper Van Dien, Michael Gambon, Christopher Walken, Marc Pickering, Michael Gough, Christopher Lee, Jeffrey Jones, Lisa Marie, Richard Griffiths, Ian McDiarmid, Steven Waddington, Claire Skinner, Martin Landau, Alun Armstrong, Ray Park, Mark Spalding, Jessica Oyelowo, Peter Guinness, Orlando Seale",1999-11-19,2000-05-23,105,Paramount Pictures,Fresh,68,127,80,606912
Sweeney Todd: The Demon Barber of Fleet Street,R,"Drama, Musical & Performing Arts, Mystery & Suspense",Tim Burton,John Logan,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Edward Sanders, Ed Sanders, Jayne Wisener, Ava May, Gabriella Freeman, Gracie May, Jody Halse",2007-12-21,2008-04-01,116,DreamWorks/Paramount Studios,Certified Fresh,85,226,81,1695874
Fantastic Mr. Fox,PG,"Action & Adventure, Animation, Comedy, Kids & Family",Wes Anderson,"Wes Anderson, Noah Baumbach","George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray, Wallace Wolodarsky, Eric Chase Anderson, Michael Gambon, Willem Dafoe, Owen Wilson, Jarvis Cocker, Wes Anderson, Karen Duffy, Robin Hurlstone, Hugo Guinness, Helen McCrory, Roman Coppola, Juman Malouf, Garth Jennings, Brian Cox, Tristan Oliver, Charlie Hamilton James, Steven M. Rales, Jeremy Dawson, Robert Hersov, Jennifer Furches, Mario Batali, Allison Abbate, Molly Cooper, Adrien Brody, Martin Ballard, Alexandre Desplat",2009-11-25,2010-03-23,87,20th Century Fox,Certified Fresh,92,237,85,152381
Bottle Rocket,R,"Comedy, Drama",Wes Anderson,"Owen Wilson, Wes Anderson","Owen Wilson, Luke Wilson, Robert Musgrave, Ned Dowd, Lumi Cavazos, James Caan, Shea Fowler, Jim Ponds, Haley Miller, Brian Tenenbaum, Andrew Wilson, Kumar Pallana, Jenni Tooley",1996-02-23,1998-12-22,95,Columbia Pictures,Certified Fresh,85,66,80,61507
